All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : 232.fasta
SeqY filename        : 7422.fasta
SeqX name            : gi|54019969|ref|NC_006360.1|
SeqY name            : gi|525903163|ref|NC_021831.1|
SeqX length          : 892758
SeqY length          : 898495
Min.fragment.length  : 64
Min.Identity         : 80
Tot Hits (seeds)     : 12236
Tot Hits (seeds) used: 1524
Total fragments      : 513
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,109268,782162,109333,782227,f,0,66,192,57,86.36,86.36,0,0
Frag,109246,782135,109311,782200,f,0,66,176,55,83.33,83.33,0,0
Frag,417553,820068,417695,820210,f,0,143,476,131,91.61,91.61,0,0
Frag,28078,408645,28150,408717,f,0,73,252,68,93.15,93.15,0,0
Frag,28034,384757,28167,384890,f,0,134,352,111,82.84,82.84,0,0
Frag,389631,737657,389703,737729,f,0,73,252,68,93.15,93.15,0,0
Frag,507313,547963,507454,548104,f,0,142,424,124,87.32,87.32,0,0
Frag,506956,546534,507117,546695,f,0,162,568,152,93.83,93.83,0,0
Frag,401998,441002,402095,441099,f,0,98,344,92,93.88,93.88,0,0
Frag,515058,547963,515347,548252,f,0,290,752,239,82.41,82.41,0,0
Frag,513633,546535,515842,548744,f,0,2210,6696,1942,87.87,87.87,0,0
Frag,515827,548720,521292,554185,f,0,5466,20048,5239,95.85,95.85,0,0
Frag,521107,553999,523227,556119,f,0,2121,7756,2030,95.71,95.71,0,0
Frag,523208,556099,523644,556535,f,0,437,1628,422,96.57,96.57,0,0
Frag,523622,556506,523748,556632,f,0,127,484,124,97.64,97.64,0,0
Frag,619586,652462,619774,652650,f,0,189,596,169,89.42,89.42,0,0
Frag,531210,564081,531985,564856,f,0,776,2840,743,95.75,95.75,0,0
Frag,619766,652636,620779,653649,f,0,1014,3640,962,94.87,94.87,0,0
Frag,620498,653367,623671,656540,f,0,3174,10376,2884,90.86,90.86,0,0
Frag,523747,556613,527129,559995,f,0,3383,12612,3268,96.60,96.60,0,0
Frag,534346,567211,534737,567602,f,0,392,1384,369,94.13,94.13,0,0
Frag,611972,644837,612330,645195,f,0,359,1324,345,96.10,96.10,0,0
Frag,527129,559992,527542,560405,f,0,414,1528,398,96.14,96.14,0,0
Frag,529132,561994,536655,569517,f,0,7524,19840,6242,82.96,82.96,0,0
Frag,608929,641790,610308,643169,f,0,1380,5056,1322,95.80,95.80,0,0
Frag,610149,643009,610464,643324,f,0,316,952,277,87.66,87.66,0,0
Frag,536665,569524,537137,569996,f,0,473,1796,461,97.46,97.46,0,0
Frag,610450,643309,611719,644578,f,0,1270,4864,1243,97.87,97.87,0,0
Frag,606929,639787,608980,641838,f,0,2052,7904,2014,98.15,98.15,0,0
Frag,537135,569991,540398,573254,f,0,3264,11368,3053,93.54,93.54,0,0
Frag,611720,644576,611983,644839,f,0,264,1008,258,97.73,97.73,0,0
Frag,542329,575182,543094,575947,f,0,766,2584,706,92.17,92.17,0,0
Frag,618908,651760,619610,652462,f,0,703,2660,684,97.30,97.30,0,0
Frag,543080,575927,543913,576760,f,0,834,3080,802,96.16,96.16,0,0
Frag,541637,574481,541854,574698,f,0,218,784,207,94.95,94.95,0,0
Frag,612326,645170,616245,649089,f,0,3920,14904,3823,97.53,97.53,0,0
Frag,616107,648950,618927,651770,f,0,2821,10276,2695,95.53,95.53,0,0
Frag,546334,579175,548948,581789,f,0,2615,9348,2476,94.68,94.68,0,0
Frag,605039,637879,605172,638012,f,0,134,440,122,91.04,91.04,0,0
Frag,543890,576728,546343,579181,f,0,2454,8824,2330,94.95,94.95,0,0
Frag,606400,639236,606903,639739,f,0,504,1960,497,98.61,98.61,0,0
Frag,570353,603188,572756,605591,f,0,2404,9416,2379,98.96,98.96,0,0
Frag,581556,614391,584565,617400,f,0,3010,11128,2896,96.21,96.21,0,0
Frag,605152,637987,606487,639322,f,0,1336,4864,1276,95.51,95.51,0,0
Frag,572725,605559,572911,605745,f,0,187,460,151,80.75,80.75,0,0
Frag,575848,608682,588855,621689,f,0,13008,37736,11221,86.26,86.26,0,0
Frag,596359,629193,598004,630838,f,0,1646,6296,1610,97.81,97.81,0,0
Frag,572718,605551,576011,608844,f,0,3294,11864,3130,95.02,95.02,0,0
Frag,588830,621663,596373,629206,f,0,7544,29576,7469,99.01,99.01,0,0
Frag,597952,630785,598087,630920,f,0,136,480,128,94.12,94.12,0,0
Frag,604027,636860,604540,637373,f,0,514,1936,499,97.08,97.08,0,0
Frag,604522,637352,605045,637875,f,0,524,2016,514,98.09,98.09,0,0
Frag,570034,602863,570400,603229,f,0,367,1348,352,95.91,95.91,0,0
Frag,568658,601486,570062,602890,f,0,1405,5556,1397,99.43,99.43,0,0
Frag,568593,601420,568663,601490,f,0,71,204,61,85.92,85.92,0,0
Frag,602131,634952,604040,636861,f,0,1910,7280,1865,97.64,97.64,0,0
Frag,602071,634891,602202,635022,f,0,132,440,121,91.67,91.67,0,0
Frag,598125,630944,602198,635017,f,0,4074,15552,3981,97.72,97.72,0,0
Frag,568468,601279,568648,601459,f,0,181,636,170,93.92,93.92,0,0
Frag,548946,581754,551784,584592,f,0,2839,10364,2715,95.63,95.63,0,0
Frag,551635,584442,552443,585250,f,0,809,3028,783,96.79,96.79,0,0
Frag,568100,600907,568488,601295,f,0,389,1532,386,99.23,99.23,0,0
Frag,552322,585128,568128,600934,f,0,15807,61228,15557,98.42,98.42,0,0
Frag,477828,510581,478247,511000,f,0,420,1272,369,87.86,87.86,0,0
Frag,478245,510995,478534,511284,f,0,290,1016,272,93.79,93.79,0,0
Frag,512335,545045,513590,546300,f,0,1256,4840,1233,98.17,98.17,0,0
Frag,480405,513114,482177,514886,f,0,1773,6660,1719,96.95,96.95,0,0
Frag,482123,514831,482405,515113,f,0,283,1092,278,98.23,98.23,0,0
Frag,479241,511939,479713,512411,f,0,473,1772,458,96.83,96.83,0,0
Frag,479636,512333,480456,513153,f,0,821,2932,777,94.64,94.64,0,0
Frag,489675,522366,490585,523276,f,0,911,3460,888,97.48,97.48,0,0
