All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : ECOLI_B.fasta
SeqY filename        : ECOLI_K12.fasta
SeqX name            : NZ_CP014268.2
SeqY name            : NZ_CP009789.1
SeqX length          : 4478958
SeqY length          : 4558660
Min.fragment.length  : 64
Min.Identity         : 80
Tot Hits (seeds)     : 75136
Tot Hits (seeds) used: 6080
Total fragments      : 2242
========================================================
Total CSB: 0
========================================================
Type,xStart,yStart,xEnd,yEnd,strand(f/r),block,length,score,ident,similarity,%ident,SeqX,SeqY
Frag,161693,4432630,161795,4432732,f,0,103,260,84,81.55,81.55,0,0
Frag,230010,4432625,230074,4432689,f,0,65,204,58,89.23,89.23,0,0
Frag,353792,4531463,353859,4531530,f,0,68,232,63,92.65,92.65,0,0
Frag,353892,4531465,353957,4531530,f,0,66,232,62,93.94,93.94,0,0
Frag,353792,4531362,353859,4531429,f,0,68,232,63,92.65,92.65,0,0
Frag,353892,4531364,353957,4531429,f,0,66,232,62,93.94,93.94,0,0
Frag,353795,4531264,353858,4531327,f,0,64,224,60,93.75,93.75,0,0
Frag,353892,4531263,353956,4531327,f,0,65,228,61,93.85,93.85,0,0
Frag,214052,4381353,214180,4381481,f,0,129,348,108,83.72,83.72,0,0
Frag,61396,4181586,63284,4183474,f,0,1889,7444,1875,99.26,99.26,0,0
Frag,64347,4184536,64540,4184729,f,0,194,768,193,99.48,99.48,0,0
Frag,63290,4183478,64347,4184535,f,0,1058,4184,1052,99.43,99.43,0,0
Frag,59351,4179532,61387,4181568,f,0,2037,7972,2015,98.92,98.92,0,0
Frag,263935,4381344,264033,4381442,f,0,99,252,81,81.82,81.82,0,0
Frag,61396,4140186,63284,4142074,f,0,1889,7444,1875,99.26,99.26,0,0
Frag,63290,4142078,64210,4142998,f,0,921,3644,916,99.46,99.46,0,0
Frag,64212,4142998,64541,4143327,f,0,330,1280,325,98.48,98.48,0,0
Frag,59156,4137937,61387,4140168,f,0,2232,8776,2213,99.15,99.15,0,0
Frag,384181,4432617,384293,4432729,f,0,113,316,96,84.96,84.96,0,0
Frag,229988,4257642,230066,4257720,f,0,79,276,74,93.67,93.67,0,0
Frag,169640,4179532,171408,4181300,f,0,1769,6828,1738,98.25,98.25,0,0
Frag,171684,4181484,174743,4184543,f,0,3060,11992,3029,98.99,98.99,0,0
Frag,174891,4184598,175022,4184729,f,0,132,520,131,99.24,99.24,0,0
Frag,169458,4137950,171408,4139900,f,0,1951,7644,1931,98.97,98.97,0,0
Frag,171684,4140084,174598,4142998,f,0,2915,11412,2884,98.94,98.94,0,0
Frag,174600,4142998,174735,4143133,f,0,136,512,132,97.06,97.06,0,0
Frag,174891,4143195,175032,4143336,f,0,142,528,137,96.48,96.48,0,0
Frag,61396,4009152,62588,4010344,f,0,1193,4660,1179,98.83,98.83,0,0
Frag,64347,4012103,64541,4012297,f,0,195,756,192,98.46,98.46,0,0
Frag,62589,4010344,64347,4012102,f,0,1759,6900,1742,99.03,99.03,0,0
Frag,61303,4009050,61387,4009134,f,0,85,332,84,98.82,98.82,0,0
Frag,59163,4006818,61119,4008774,f,0,1957,7732,1945,99.39,99.39,0,0
Frag,214057,4099581,214141,4099665,f,0,85,268,76,89.41,89.41,0,0
Frag,302256,4179532,304871,4182147,f,0,2616,10208,2584,98.78,98.78,0,0
Frag,304882,4182156,306200,4183474,f,0,1319,5268,1318,99.92,99.92,0,0
Frag,307263,4184536,307456,4184729,f,0,194,768,193,99.48,99.48,0,0
